palavra	count
diarios	6290
deslealtad	8228
estelada	9932
fuerzas	11678
otos	251
quer	7815
1714	9337
catala	3405
enfrentados	2170
botón	5682
vuelvan	9653
hospital	6991
ausencia	8079
independência	11143
cielo	8320
votos	11800
pierdo	7936
escoces	2124
minoría	10850
perdéis	1905
controla	7740
sinceramente	10840
boa	1780
ende	6756
monstruo	3748
2m	4781
jugar	11660
edificios	5937
terminen	586
tendriamos	3215
cabron	8503
convertir	9946
san	10491
asociación	6907
opresion	187
incendios	253
segadors	5176
true	3001
profesionales	7654
coinciden	1259
opinion	10214
🤦‍♀️	7203
radios	300
volveré	3641
amén	4094
anna	4967
gato	6615
parecéis	2911
intente	6389
merecéis	6691
influye	4791
nacionalista	11044
jerez	131
espantada	1033
distorsionada	2458
01102017	917
rusa	8294
resultado	11739
sangrando	3045
seriedad	6391
aceptado	8023
insisten	4802
autónoma	11141
bombardeos	1153
cagaremos	1183
canta	9484
impedirlo	9973
hoje	8478
super	10274
gallegos	9525
índice	2882
obtiene	5471
represiva	8716
legalmente	10392
valdría	3147
admirable	6360
saltándose	9550
adulterado	487
nivelazo	1832
bebés	5
denuncien	2386
tanques	10948
estúpido	8701
zapatero	9945
termino	7269
peligros	1310
atender	6917
cargo	9853
envían	6464
referendos	3829
cubos	6261
botella	3633
salido	11420
máquina	2344
has	2593
repartir	10018
maneras	8651
expulsión	7120
contenido	6390
armando	1854
atentando	1171
shows	925
pascua	4129
sacarlos	1720
bola	8504
hacer	7933
refugio	2668
alzamiento	4080
arrogancia	1596
búsqueda	6061
debiera	5596
cambiaría	1945
aleix	985
intención	9139
acordar	7772
vives	10479
⒈	10236
saberlo	7066
necesitar	779
catalanistas	694
servirá	7641
catalonia	11813
felicito	4044
latinoamericanos	5672
apoye	10497
ecuador	6451
edo	4327
jugará	10248
exige	10760
verla	2599
querría	7588
bingo	2177
alemania	11186
convocarlo	2081
profesora	7174
aprovechad	1998
sergio	7279
comparan	8281
exclusiva	5926
esto	9635
damos	9766
dat	5019
5000	2931
fenómeno	363
tertulianos	6897
malvinas	3340
criticas	5241
michel	614
nuestro	4019
tve	10145
sebastián	813
asegurarse	2179
flaco	6441
55	3636
protest	591
aplican	7702
350	963
obligada	5222
compara	9385
electoralmente	1805
feria	4493
femp	185
rostros	1614
custodia	7076
⒌	10232
violentamente	7454
dedicada	2693
economista	658
cínicos	7358
mártires	6163
penal	9784
puigdemot	2416
engañada	4204
grita	9468
elementos	3072
burro	8244
golpes	10875
agreden	8210
mireia	2713
financiar	5102
debilita	4940
implantar	3730
miembro	8432
dialogar	11535
comenta	7544
convertirá	5188
inexistente	2538
culpa	11699
maneja	4674
ignorar	8246
permitamos	1165
bombo	7889
áfrica	5400
ideas	11018
adoctrinan	8067
➀	2086
querella	5554
oyendo	6150
indepes	11329
viceversa	9267
celebrase	1373
dictadores	9032
grados	4043
periodicos	1338
manipulado	9255
rasgan	886
mirá	4125
tropas	7563
piernas	1914
determinar	2394
bailar	2215
indeseables	3879
pelisconantidisturbios	5444
anunciado	7725
previsto	6493
discutible	894
conozco	9968
encantada	1250
perderás	688
fake	9326
america	7341
disfruta	3891
violan	7122
protagonistas	6291
asistir	3382
considerarse	5158
históricamente	2272
reprimida	7099
estudiar	10107
vengas	3364
conseller	4664
rm	291
expresarse	10300
niveles	6549
vividores	2156
abuelos	8915
queda	11752
majos	1350
considere	5399
borrell	3819
traicion	3444
inmediata	7156
anarquía	7886
cobarde	11013
refleja	6623
termine	9008
desmedida	8556
patetico	5054
metidas	998
marcado	8022
1300	4457
fórmula	5515
expertos	9127
qe	10231
probablemente	9307
justificó	2459
➐	1742
seria	11446
tratada	2211
lía	7494
moral	11248
sentido	11529
traducción	5504
global	9133
organismos	3613
bloqueado	7586
burguesía	9398
incomoda	1818
información	11236
adelanta	3093
oportunidad	10602
llevarán	3812
cercana	2651
invalidar	1265
casual	673
vítores	527
ahorrado	7809
ejercen	4777
huracanes	7086
bolas	8070
única	11576
miguel	9651
hipócritas	9786
comercio	7810
desplegados	8290
barca	10757
quilombo	907
promete	5351
sabremos	7733
estatua	2186
clásico	9675
paro	11452
comentando	6631
llegan	10407
golpeados	5568
guayaquil	1309
renta	6248
servidor	3557
quedamos	9368
modos	5112
resuelvan	254
orden	11696
pal	6239
vídeo	11340
podéis	11207
informados	3059
distintos	9445
prohibe	6438
veremos	11060
catalan	11606
mártir	5890
correctamente	1301
refieren	4220
rusos	9685
burla	7290
jep	6189
peli	7830
desayunar	5490
dejarán	7955
descripción	4260
465	10810
🤓	1157
aprobada	9607
atención	11075
demonio	4847
gusto	10429
mandar	11168
aburre	6989
córcega	4975
would	6457
carretera	6558
retrógrada	5486
decidme	4308
preocupar	3996
inocentes	8639
frena	5549
poder	7576
nube	298
bombas	6744
2100	3896
2o	2919
mereces	3615
apesta	4409
apoyan	11480
santamaria	2015
castellano	10969
faltado	8866
casa	11785
garantizado	2293
aparcar	2065
cristo	4238
reservar	666
mentira	11349
escudo	10100
incontrolados	509
illegal	8847
vaticano	4705
marsella	3903
sentarse	9620
➌	23
100	11373
imprescindible	6054
seguidas	1449
criticado	3394
reciban	657
ballots	1646
debates	7780
masas	8979
contestar	8029
plan	11271
algun	9802
tabla	5703
6ª	1097
caballo	4841
protestando	7068
señoritos	1629
galicia	11223
ik	5204
comparecencia	8479
quemando	5535
uns	4227
soberanismo	3199
far	3406
unida	11403
dejara	5523
mimada	74
sin	10041
bipolares	674
david	6602
condenar	10632
principal	9779
pasarse	7488
imbeciles	6243
referencias	196
acogida	1526
ruido	9251
enfrentarse	7064
mañana	11860
cada	3976
desproporción	1433
mucho	5288
plaça	1026
joe	593
rompa	6798
hoteles	11072
transformar	2361
decida	10906
formal	2407
liberen	1392
“cara	4249
principado	5673
robarnos	3830
matones	5660
reparte	4890
apruebe	3233
tí	6944
presidencia	7861
televisiones	2436
aran	6838
desear	5317
rompió	4706
paz	11695
demostrarlo	1330
apaleados	3886
orejas	7906
jajaja	11220
»	8691
gg	1056
necesitáis	3030
cambia	10447
decirles	8266
edu	449
pudiera	9519
52400	565
mina	2753
burradas	4653
curiosa	5860
pegar	9969
odien	866
encuentre	6375
venidos	3407
mensaje	11501
xddd	9181
discutiendo	8647
cambiando	9094
tire	4310
mató	3150
yugo	5981
mera	6539
costar	8164
cobras	222
forzar	2928
noticiero	2696
tendrian	5533
bikini	6600
coger	7659
pactos	4375
internas	511
sentimos	9662
base	11027
use	6865
costó	4862
manipulación	11238
suarez	2570
337	10590
democrática	11463
pisado	6528
iva	11076
represivos	2611
consultas	7080
rtp	159
absurda	6082
embajadas	3764
esconde	3966
importante	11625
rectificar	4473
fábrica	7805
represion	11306
línea	9985
adolfo	5957
vigilar	3419
agentes	11315
nefasto	8414
vergonzosas	450
pasos	10124
jefa	1673
cnp	9317
ambulatorios	8397
correoorinoco	2770
echarle	6680
trapos	603
testosterona	1697
compañeros	11054
”	10588
pidamos	3873
srs	1658
serviría	3584
refiere	9388
perseguir	4812
agente	6213
srta	4036
dirección	8470
terribles	6315
uf	6934
trama	6959
boca	11000
66	2976
razonar	1851
exhibe	878
despeja	667
irrumpen	2097
podra	2734
jxsí	8040
verguenza	11247
deportivo	5555
berlín	5419
arcas	3360
plazo	9848
ep	1813
echado	10115
cuñados	877
estrategias	6741
noooo	5720
star	7300
gentes	7074
malos	10903
less	319
demas	10294
crónicas	728
difíciles	7728
libro	10209
supremo	4933
2030	3788
occidente	5921
informativos	8332
soñado	301
coma	3836
adolescente	716
ruas	87
volar	141
idosos	1830
fácil	11468
descarrilamiento	889
yéndose	1257
intenten	6618
garzón	6597
dais	11136
gustaba	3313
buscaban	5392
vai	9298
incumplir	4694
financia	6169
choose	1672
⒍	3805
girona	9187
propusieron	1173
enseñanza	8129
anuncie	1340
transparentes	5082
preguntarnos	2805
llamados	7192
resto	11823
extremo	7651
preguntó	7212
detengan	3728
prorrusas	3109
seguidores	10341
coartar	2933
cabezas	8668
enga	4530
flipando	8225
virgen	4174
firma	9330
relacionadas	4518
actuaciones	9467
guapa	7293
deciros	4684
escrúpulos	1544
ganara	6862
trapo	1344
peseta	161
ponerlos	2600
discursos	8055
fallido	6717
daré	3230
españolismo	3638
increíbles	1789
recurrir	4413
investigar	9401
actuales	5363
justa	8123
conocidos	5779
cayó	7257
valenciano	5649
manifiesta	9792
tías	415
puedan	10996
ordenó	8460
luck	3621
normativa	5025
detenido	8832
pode	8985
sacan	10257
sangriento	1176
usaron	3250
innovación	3375
termina	9898
exacto	9593
derecha	11611
obispos	7007
calle	11762
ação	2866
importancia	9866
cansado	7585
salsa	3767
antidemocrático	10745
man	7199
cartas	7258
parque	5702
vende	9243
decís	10199
insultar	8193
olor	3372
900	9234
desigualdad	7311
tsunami	1065
presupuestos	1977
autoritario	9079
aéreo	7501
sacerdotes	5808
ocuparse	1248
catalanofobia	268
señorita	6805
olvidamos	5666
unan	1160
it	11142
callado	5929
does	4084
clientes	8317
escala	7637
construcción	2252
cortos	2137
incoherente	4604
asumir	9210
españolitos	7855
tarragona	8917
way	6445
ensayo	720
xq	11368
24h	8308
temer	3436
chavista	8777
militares	10543
pastor	5450
cultivo	3814
provocando	8176
che	9834
sanción	624
fanáticos	9476
españasalealacalle	3889
engañan	10965
corrupción	11674
sientan	7714
valenciana	9487
turull	9019
falangista	4993
triunfo	9993
busca	11351
señera	3840
mu	8287
gob	11063
020140	1731
vaga	8136
responden	5080
recoger	5759
policíaca	7707
aplicando	5086
tienda	2603
52	892
posiciones	8572
rechazo	10621
avergüenzo	5827
reunirse	628
algeciras	594
pasen	9407
fuerza	11804
torre	1411
convocaron	6963
jodería	7278
saldría	9908
argumentos	10941
puigdemon	9520
continúe	2334
manda	11342
incautación	3352
deshacerse	280
esfuerzos	172
parecido	10418
actividad	8046
decidan	10350
rentas	4011
comprometido	662
prohibida	3773
natural	6637
infantil	7690
cataluña…	3298
other	6322
grano	1872
dispara	8464
ddhh	10718
impiden	9239
existirá	1946
cambiado	9979
1100	5407
cositas	3254
vencidos	1960
escribiendo	6302
desprecio	9381
aranceles	6068
aplaude	5756
blindar	396
batalla	10503
chistes	6139
down	2441
abrirá	2194
animados	4196
une	9791
incierto	3790
cunetas	2939
votó	11505
querer	11651
soc	1581
corresponde	8694
empresarios	9621
pisos	3223
vivió	9415
necesitamos	11056
dejas	8911
fíjate	7107
kurdistán	10375
pillado	6555
tele	11243
compañera	2993
soviética	176
pensabais	3737
juegos	8563
2a	37
generado	7287
pire	2511
quedáis	5280
visceral	378
ciencia	2658
ejemplos	7946
reivindican	612
400	10095
bajen	1115
henry	4749
friends	4268
santo	8505
margarita	5049
históricos	6775
welcome	3183
tolerante	1834
manta	697
acoso	10866
cuento	10635
pena	11751
merced	454
neonazis	21
animales	9681
confiando	1207
arbeloa	661
herir	781
peste	4185
vasco	11612
divertido	5954
consejo	9029
colocan	1023
cojo	3850
título	6175
empezó	10616
soporte	296
desproporcionada	8199
colectivos	3533
porcentaje	9570
creído	7511
territorio	11506
apoyen	7950
clemencia	5503
anuncia	11050
justificable	4562
viable	8238
facherío	2969
falar	4702
independice	11796
cortina	10335
menores	10533
mato	4710
veía	9233
vería	6923
escaleras	3759
instituciones	10569
borbon	6219
legionarios	7186
explicarles	1407
cadena	9494
brecha	7687
➍	1745
cuestión	11313
‘escudos	369
desbordado	2068
protegida	1395
as	11157
jueguen	3129
martin	152
puigdemond	2172
intelectuales	8286
abandonados	7928
ultraderechista	1296
devuelvan	6521
cabeza	11508
aparecen	3969
votaste	5512
encerrona	1620
impidió	8329
mazo	7254
ciu	10072
alcaldesa	10089
botar	3939
alternativas	6092
digáis	7496
medicina	5494
dialoguen	7085
se	11645
pretende	10425
negros	7888
traje	3421
perfección	1734
pesada	4126
posturas	5695
votara	8987
manipulando	7197
espantoso	1294
“españa	5258
opinión	11726
authorities	1360
violencia	11854
respetarían	394
francesa	9666
contado	8596
veamos	7900
activamente	3166
sitúa	57
excluyente	8077
violento	10327
proponga	2127
posibilidades	5833
under	1125
concentra	4086
objetivo	10935
incluyendo	7524
rajoy	11864
pirómano	4798
repressão	8952
despierten	1343
informar	10356
jajajajaj	4246
trump	11038
pisotean	2322
cuyo	7739
capitán	325
qé	423
forcadell	6927
sectario	3712
orgullos	2227
constitution	489
callas	7126
pregunta	11662
coming	493
13	9258
cordoba	5050
éa	699
colegios	11792
dividir	10905
espanya	10269
amo	10893
usado	8851
colectivo	5837
obedecer	3141
hacía	9860
latest	11359
roja	8942
twits	4352
masivamente	3623
juntas	7912
salvar	8679
muy	9895
monumental	2022
democrata	9202
diras	361
desconocimiento	3344
abraza	4384
mentirosa	3878
fachillas	3708
videos	10920
bastión	4242
cortijo	2442
sobra	10024
our	8924
siguen	11496
responsabilidad	10155
tijera	1118
…	11737
pequeño	9900
simulacro	9319
bajan	5976
tumba	9064
presidente	11771
forças	6095
desastre	10886
olvidas	2196
violenza	1093
felicidad	2190
contrario	11394
proponen	5907
cutre	4100
abierta	9502
multinacionales	1594
cobran	6477
karma	1303
facistas	2195
llevando	10600
os	10153
tomó	2631
resolver	10892
imágenes	11703
state	8819
jóvenes	10408
esclavitud	6256
libremente	10460
martínez	6839
comentario	9633
librar	3255
imponen	5028
denuncia	10698
catalunia	7448
giulia	2291
rapido	1313
políticas	11005
echo	10349
mercados	8009
bolsa	10902
parlamentario	6071
suiza	9610
toman	9690
informaciones	3378
entendeis	4470
infinito	4383
daria	3459
barra	8011
palmeras	8380
pls	7525
quedara	3493
zoido	9458
incluidos	7119
haréis	4066
espeluznante	1762
vidas	8089
secesión	11296
cdt	1027
gestapo	756
decretos	959
sordos	5516
fracturado	4070
fumando	844
apariencia	5762
minimo	4091
debieron	7443
desnudo	142
lluisbartra	3742
monarca	7162
kaos	2908
convoco	766
pamplona	2009
escucho	9315
dialogamos	1786
apoyaba	6876
retire	2051
negocia	8974
suban	4025
perderemos	1133
rally	2829
pedrerol	1690
emigrantes	763
basa	7620
kien	1483
pon	8142
cae	10753
hazte	2445
dejará	9163
caminando	379
psc	9147
escenificación	5334
help	6267
violência	10032
ou	9089
gerona	7547
live	8276
análisis	10832
peligroso	9647
xix	2269
hospitalet	6215
manía	5972
iré	9013
celebrarse	8405
diego	3771
actas	625
himnos	4948
previamente	1866
espanha	10925
insistiendo	3628
colas	9044
garantiza	7765
previstos	945
marca	10328
oligarquía	6018
monta	6849
cierra	10137
comentarios	10794
merecen	10554
armados	7860
sale	11731
negligencia	2640
disfrutad	32
pagando	8948
solicito	1077
importantes	10157
importará	948
proyectos	5208
region	8154
realizará	108
“democracia”	406
maestro	6039
salgan	10522
mani	8614
cn	10450
estupido	5428
numerosas	388
ave	9262
declarar	11594
sempre	8798
cordura	9840
sabiendo	9771
cúpula	6309
doña	5122
producirá	2430
apaleando	986
roba	11057
vaina	5175
social	11647
informarnos	693
empleó	2681
acudir	7744
agenda	9274
coche	9719
ocupa	8027
who	7271
cola	9265
mediterráneo	8698
tuiteando	2465
aplauden	7540
uniendo	3783
películas	1284
suárez	7487
urnas	11809
tiene	8975
ocupando	8222
magos	3950
resistir	1020
cía	4714
dejais	4696
comparas	3440
mi	10357
enviada	5059
rosario	5103
mandó	8946
ganará	8937
votemos	10384
notado	2704
sinvergüenzas	8404
crónica	7249
denunciando	2316
marcadas	2567
nel	3571
botellón	2895
robo	9069
provocó	3462
tertuliano	2446
permita	9728
cdo	3221
soltando	5943
males	4479
españa”	5653
sumando	3474
dicen	5777
confiar	3933
independence	10727
rositas	3418
aznar	8271
salvajismo	6073
cerebral	562
monarquia	11331
decreta	205
prometo	2185
extraña	10368
favorece	5528
perderíamos	686
over	8198
fla	5738
masacrados	192
ideologia	2046
mientras	3180
recomiendo	7738
semejante	8241
hogar	6341
sencillo	10161
protestaron	2353
mínima	9099
comicios	579
firmes	6045
considerar	7445
distinto	10243
anos	4944
levantarse	4750
tierras	8530
recuerdos	4021
espanyol	8178
salirme	865
inhumano	3542
fanatismo	8325
apoya	11654
11s	1547
rechazó	4642
arda	1640
faltaba	9702
entrada	9880
validez	11381
pancarta	8428
that	10747
miedos	42
opuesto	3777
rata	631
eyewitness	2174
auténticos	2899
callejón	5999
manipular	9731
cuela	7571
equivoque	6611
italia	9446
promotores	7823
démocratie	3362
charla	4318
1017	3420
uy	8654
habitación	5540
incapaces	7204
periodo	1757
equivoca	6523
🤔🤔🤔	6124
volverán	8512
víctimas	10754
grotesco	794
90	11602
falacia	7893
lama	5989
vividor	1066
indra	4397
currar	6804
ronda	6354
rosa	9429
ruego	4335
cuñado	7902
due	2229
seriamente	6604
hazlo	784
requisitos	3911
tradicional	2763
inventado	8248
adoctrinando	1696
saltarse	10440
mucha	2145
desgracia	10461
probabilidades	1199
obviamente	9879
mezquitas	2061
habra	10207
ganó	11159
guerra	11773
defenderla	3826
pacten	3758
dijera	8336
derecho	11846
salvador	6692
ambigüedad	3159
islámico	7363
cancer	6707
reprecion	317
defendiendo	11421
dialogo	11291
empresas	11641
enero	4912
cagando	5220
creían	5304
anticipadas	8315
socialismo	8112
guerras	4960
chavez	4774
dejarles	7281
caspa	1030
compares	5847
destruyendo	6063
obstáculos	3324
miro	4050
pais	7410
condenando	9286
pensamiento	9667
diz	9172
emergencia	2111
pongan	10458
refugiados	6768
temas	10764
leon	3663
aguante	9448
rumbo	7812
cincuenta	1976
penita	204
essa	5375
histórica	10299
cliente	5356
empieza	11388
habrian	299
aplaudió	221
saldremos	5002
madurez	2168
lesionados	6664
inutilidad	3010
população	7592
medidas	10784
dependiendo	1695
perdí	1555
tenia	9843
esquerra	5091
stay	3119
aprendiz	4195
liado	9693
obrero	4772
desorden	4790
pagan	9676
compromiso	7988
images	5811
ejemplar	8302
supuesta	8945
decido	1896
despertando	6758
huele	9930
contre	444
recuentos	10
monárquica	5783
tocado	9066
parido	2409
basada	3502
europeo	11290
corredor	7673
pretenden	9799
procesos	7797
entiendo	11749
impotencia	10058
determinadas	1425
pau	8279
vergonya	5253
ciao	803
económicas	7413
podré	6998
puro	10475
hincha	5845
irrumpe	6064
detenga	2916
legitimado	5055
estamosporti	8519
provincias	9067
recorrido	681
comience	1390
pero	10878
velan	3605
pacos	6718
23	9359
ciudades	10413
situacion	9671
pueblos	11552
coscubiela	7800
last	255
lógica	10272
desmanes	3630
divida	4312
deteniendo	1206
vontade	2506
fomentado	1123
but	10258
venganza	1286
ingleses	8814
continente	7367
quito	4851
carlos	10661
reportaje	7426
letras	4858
lió	2591
dejase	2240
buscaron	1791
secreta	1398
registra	1922
aki	7534
aca	7636
demencial	5367
gringos	5776
contempla	7467
admiración	7824
pagarán	6903
equipo	10780
comprender	7964
pies	9178
aprobar	10110
compañer	2725
sesión	8375
seguido	9144
economia	5454
residente	4215
cosecha	824
betis	7170
unica	9679
líneas	2757
electoral	11486
famoso	7559
tocaba	1078
compartimos	4817
plantear	9512
lugares	9772
asamblea	8383
controlar	8854
todas	7530
esfuerzo	8770
exteriores	5933
aumento	6317
independientes	10861
esperando	11285
encima	1802
gracias	11815
accion	2870
total	6723
all	10642
explícame	107
mandamos	6809
teme	8730
exigir	10472
hundido	732
celebra	10340
tuiteros	5748
definen	1936
definición	7005
obedecen	82
levantaron	4281
controlada	2039
burgos	3106
bajando	3809
mendez	5789
robamos	5163
ostias	10672
ctti	1951
generación	7731
rumana	819
envíen	687
orgullosa	10067
permanecer	5757
afán	5864
craso	685
demos	6557
chupar	5154
manipulacion	4904
teatro	8971
salen	11204
tod	10090
acá	10975
inaceitável	2878
2000	7430
desconvocar	8516
espíritu	9353
ilegitimo	3881
reconocer	10915
preparao	8672
libertad	11789
abren	8914
adecuadamente	2455
ponerme	4231
pañales	3618
manlleu	3370
ahorita	5941
portugal	10347
adoctrinados	8756
violence	10481
saquen	9427
pumas	5522
peores	9755
meme	2977
voluntad	11130
democratas	8316
golpea	8357
largarme	800
reyes	10636
actuarán	1482
escape	4547
este	9748
parezca	9352
nómina	495
stalin	1710
vivienda	8644
recta	1388
kurdistan	8960
amor	11265
mecanismos	3720
vendrán	7569
gentuza	10431
pronunciarse	6656
saltas	5131
vd	8910
monárquico	6567
españas	4748
populares	2525
estilo	10667
leyendo	10099
embajador	9294
31	5732
amplio	5521
pagamos	8973
darse	8536
recibir	9884
lópez	2099
estupideces	5644
comparar	10623
fecha	8772
pola	6754
balance	6799
piénsalo	4140
registrado	1722
sugiere	5348
progres	8090
enseñado	3056
terrorismo	10445
parar	11397
votarían	7939
colombiana	1956
jugaría	8763
badalona	7387
edad	10275
manual	7142
ciego	8155
⒑	3801
whf	3244
añadir	7179
cagar	6581
crise	3849
montan	5699
creeis	8104
obras	4566
esperan	10606
consideráis	3559
desaparecidos	1576
impresentable	9403
sexto	2313
destruido	481
distribución	5599
soberanía	11091
huyendo	6685
tragar	5095
aceptada	3134
prevé	8110
táchira	5378
venden	8206
comparece	7869
castillo	4342
tocando	5742
tomadura	5296
manejando	1468
piro	3354
pega	8663
67	5547
den	11138
niño	10697
discusión	9547
herramienta	4773
votaron	11376
verdaderas	3512
abusar	2246
20000	4595
vengan	10093
transitoriedad	8543
quebrando	307
apoyais	2343
amenazado	6474
queráis	10126
noes	1625
enviado	8790
crisis	11626
ocurriendo	11098
reconocida	7211
idea	11616
likes	5729
cama	9055
pleno	11160
votas	9341
vacío	9336
cambiaron	5564
propiedades	1287
margallo	4422
salia	1808
paises	10075
pierna	2944
dudas	10591
impulsa	6918
europeos	10185
hirieron	411
contradicción	4780
histórico	10502
atrocidades	126
harta	9781
fija	5904
desea	9114
deportivos	5144
localidades	750
metas	2943
parlament	11327
suspender	9914
mass	2454
lleva	501
hermanas	1492
julian	6791
⒏	3803
independientemente	9338
famosos	5384
boe	2822
él	2232
vientos	780
ricas	4981
calendario	4997
amig	2257
desoye	669
afectadas	4809
aulas	6582
hiciese	6334
reconozco	3046
marianito	4649
funcionó	3751
sei	49
15h	884
complica	4617
basado	5997
actitud	10565
requisar	7700
olvidará	5824
llenando	528
proporcional	6787
expansión	3893
cerdo	4806
indiferente	7349
entendió	875
emigraron	1589
periodistas	11184
cocacola	1271
quedaría	9207
permanencia	4536
masivas	4412
big	3115
vacíos	2997
pésima	7037
llego	9110
ángel	4408
jodio	857
enfoque	2282
tic	146
maquinaria	3008
humor	9052
quimera	6006
bendiga	2920
insensatez	4508
telesur	8649
paisos	1418
depositado	173
afectará	5246
palma	5063
matrix	7698
indignan	5484
fría	1519
foram	5424
majete	2467
puigdemont 	50
privada	6785
envió	5226
compatible	6904
preguntarse	3373
expresar	10524
sueltos	3410
abuso	10279
pandereta	7321
casualmente	2259
oprimen	2342
mostrado	7283
haciéndole	491
diciéndome	1859
recordará	101
nacimiento	6560
oprime	5305
om	215
verá	9256
baja	10459
vivimos	11175
devuelven	2080
mando	10381
destinados	7434
